Species,Locality,Lat,Lon,Elevation(feet),Binary
T_dimidiata,Manabí_ ,-1.05434,-80.45264,139.3,1
T_dimidiata,Esmeraldas ,0.73994,-79.19999,448.8,1
T_dimidiata,El Oro ,-3.25924,-79.95835,41.7,1
T_dimidiata,Los Rí_os ,-1.41917,-79.47039,79.9,1
T_dimidiata,Bolivar ,-1.56962,-79.10969,5952.5,1
T_dimidiata,Morona-Santiago ,-2.56282,-78.11083,3864.5,1
T_dimidiata,Guatemala ,14.7515,-90.52578,4420.6,1
T_dimidiata,Agua Zarca  Jalapa ,14.62525,-90.02224,4874.1,1
T_dimidiata,Iglesia Catolica ,14.20678,-89.83198,3946.7,1
T_dimidiata,Pueblo Nuevo Vií±as ,14.22895,-90.47737,4202,1
T_dimidiata,San Andrí©s Sajcabajíç ,15.17365,-90.94146,4220.5,1
T_dimidiata,San Agustí_n Lanquí_n ,15.57528,-89.98018,1121,1
T_dimidiata,Yaxhíç ,17.05613,-89.38408,593.3,1
T_dimidiata,Escuintla ,14.30094,-90.78822,1124.2,1
T_dimidiata,Yoro ,15.29497,-87.14229,2176.4,1
T_dimidiata,El Tablí_n ,14.76667,-87.13333,2929.9,1
T_dimidiata,El Zapote ,14.78234,-86.86243,2559.9,1
T_dimidiata,Corral Falso ,14.26582,-88.93352,3109.7,1
T_dimidiata,Subirana ,15.20216,-87.44801,2767.7,1
T_dimidiata,El Paraiso ,14.07369,-86.41873,1601.2,1
T_dimidiata,Guinope ,13.88225,-86.93612,4289.7,1
T_dimidiata,El Cacao ,13.08333,-87.06667,176.9,1
T_dimidiata,Tegucigalpa ,15.13333,-87.46667,4271.5,1
T_dimidiata,Orica ,15.48333,-86.18333,2413.7,1
T_dimidiata,Choluteca ,13.31986,-87.16223,178.4,1
T_dimidiata,San Josí© ,14.24512,-87.95806,4343.5,1
T_dimidiata,Campeche ,18.93123,-90.26181,206.6,1
T_dimidiata,Chiapas ,16.75693,-93.12924,1771.7,1
T_dimidiata,Mapastepec ,15.43297,-92.89784,131.9,1
T_dimidiata,Tapachula ,14.90556,-92.26342,568,1
T_dimidiata,Colima ,19.24523,-103.72409,1639.1,1
T_dimidiata,Alcaraces ,19.36333,-103.57639,3794.9,1
T_dimidiata,Cuauhtí©moc ,19.33094,-103.59865,3162.8,1
T_dimidiata,Guerrero ,17.43919,-99.5451,7058.8,1
T_dimidiata,Jalisco ,20.65954,-103.34944,5107.6,1
T_dimidiata,Nayarit ,21.75138,-104.84546,1152,1
T_dimidiata,Oaxaca ,17.05423,-96.71323,5059.2,1
T_dimidiata,Nopala ,20.24897,-99.65084,7787,1
T_dimidiata,Hierba Santa ,16.35636,-95.36721,455.3,1
T_dimidiata,Santiago Cuixtla ,16.06111,-97.18528,1432.1,1
T_dimidiata,Puebla ,19.0413,-98.2062,7044.1,1
T_dimidiata,Quintana Roo ,19.18174,-88.47914,60.8,1
T_dimidiata,Cozumel ,20.42298,-86.92234,46,1
T_dimidiata,Holbox ,21.5219,-87.37983,16.6,1
T_dimidiata,San Luis Potosi ,22.15647,-100.98554,6147.3,1
T_dimidiata,Tanchahuil ,21.59389,-98.90056,749.1,1
T_dimidiata,Tabasco ,17.84092,-92.61893,89.3,1
T_dimidiata,El Rosario ,17.04282,-96.69188,5124.7,1
T_dimidiata,Heroica Veracruz ,19.17377,-96.13422,45.2,1
T_dimidiata,Manzanillo ,19.11381,-104.33846,37.6,1
T_dimidiata,Cí_rdoba - Soledad de Doblado ,18.99195,-96.68813,1468.3,1
T_dimidiata,í_rsulo Galvíçn ,19.40372,-96.3554,47.4,1
T_dimidiata,La Luz ,19.10889,-96.64194,1401.1,1
T_dimidiata,Villa Emiliano Zapata ,19.3625,-96.65654,1384.5,1
T_dimidiata,Morelos ,18.6813,-99.10135,3112.8,1
T_dimidiata,Cajones ,19.05386,-99.87805,9856.1,1
T_dimidiata,Chalcatzingo ,18.68917,-98.77528,4498.8,1
T_dimidiata,Yucatíçn ,20.70988,-89.09434,78.6,1
T_dimidiata,Paraí_so ,18.40061,-93.21272,22,1
T_dimidiata,Yaxkukul ,21.06241,-89.41925,45.3,1
T_dimidiata,Izamal ,20.93,-89.02271,45.9,1
T_dimidiata,Chablekal ,21.09618,-89.5757,29.2,1
T_dimidiata,Merida ,20.96737,-89.59259,35.2,1
T_dimidiata,Madriz ,13.4726,-86.45921,2059.5,1
T_dimidiata,Chiriqui ,8.5849,-82.38858,842.5,1
T_dimidiata,Boquete ,8.77723,-82.44819,4270.7,1
T_dimidiata,Tumbes ,-3.55649,-80.42709,80.3,1
T_dimidiata,La Libertad ,-8.14359,-78.47519,9451.7,1
T_dimidiata,Carabobo ,10.11764,-68.04775,1514.4,1
T_dimidiata,Cojedes ,9.38167,-68.33393,291.8,1
T_dimidiata,Yaracuy ,10.41764,-68.7155,1337.9,1
T_dimidiata,Bolí_var ,6.35852,-63.58061,908.2,1
T_dimidiata,Falcí_n ,11.18107,-69.85974,2284.4,1
T_dimidiata,Delta Amacuro ,8.83159,-61.51805,33.9,1
T_dimidiata,Capital District ,10.50044,-66.95115,3428.7,1
T_dimidiata,Guayas ,-1.95748,-79.91927,14,1
T_dimidiata,Jutiapa ,14.19308,-89.92532,2494.9,1
T_dimidiata,Santa Rosa ,14.1928,-90.37484,2392.2,1
T_dimidiata,Ponto 103 ,36.52729,-116.01562,4320,0
T_dimidiata,Ponto 104 ,36.24427,-106.34766,6370.3,0
T_dimidiata,Ponto 105 ,34.08906,-100.19531,1794.5,0
T_dimidiata,Ponto 106 ,33.79741,-93.86719,300,0
T_dimidiata,Ponto 107 ,34.16182,-85.86914,791.2,0
T_dimidiata,Ponto 108 ,40.5138,-121.9043,2903.3,0
T_dimidiata,Ponto 109 ,30.06909,-82.17773,114.4,0
T_dimidiata,Ponto 110 ,36.94989,-77.87109,380.8,0
T_dimidiata,Ponto 111 ,33.65121,-116.89453,2422.1,0
T_dimidiata,Ponto 112 ,31.42866,-98.34961,1324,0
T_dimidiata,Ponto 113 ,-11.09217,-67.67578,578.4,0
T_dimidiata,Ponto 114 ,-5.52851,-65.03906,292.2,0
T_dimidiata,Ponto 115 ,-2.46018,-60.73242,136.9,0
T_dimidiata,Ponto 116 ,-2.98693,-56.07422,187.1,0
T_dimidiata,Ponto 117 ,-12.89749,-67.67578,596,0
T_dimidiata,Ponto 118 ,-11.09217,-59.50195,1181.6,0
T_dimidiata,Ponto 119 ,-6.83917,-54.22852,812,0
T_dimidiata,Ponto 120 ,-2.72358,-48.60352,211.6,0
T_dimidiata,Ponto 121 ,-6.7519,-49.92187,1021.4,0
T_dimidiata,Ponto 122 ,-8.84165,-53.4375,923.8,0
T_dispar,Costa Rica ,9.74892,-83.75343,4605.5,1
T_dispar,Guayas ,-1.95748,-79.91927,14,1
T_dispar,Imbabura ,0.36716,-78.38422,11768.9,1
T_dispar,Esmeraldas ,0.73994,-79.19999,448.8,1
T_dispar,Panama ,8.53798,-80.78213,3796.8,1
T_dispar,Darien ,7.86817,-77.83673,421.9,1
T_dispar,Sucre ,8.81398,-74.72328,49.8,1
T_dispar,Ponto 8 ,-8.75479,-68.29102,610.8,0
T_dispar,Ponto 9 ,-7.31888,-65.83008,370.4,0
T_dispar,Ponto 10 ,-2.89915,-64.24805,179.2,0
T_dispar,Ponto 11 ,-1.84538,-58.71094,416.9,0
T_dispar,Ponto 12 ,-0.61522,-55.67871,1003.6,0
T_dispar,Ponto 13 ,15.41132,-90.61523,6155.9,0
T_dispar,Ponto 14 ,19.55979,-88.94531,318.2,0
T_dispar,Ponto 15 ,16.67829,-94.52637,4631.9,0
T_dispar,Ponto 16 ,17.26673,-97.64648,6953.7,0
T_dispar,Ponto 17 ,20.01465,-97.73437,4270.3,0
T_eratyrusiformis,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_eratyrusiformis,Cordoba ,-31.43547,-64.2009,1385.7,1
T_eratyrusiformis,La Pampa Province ,-36.61476,-64.28392,583.6,1
T_eratyrusiformis,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_eratyrusiformis,Anillaco ,-28.8,-66.95,4655.9,1
T_eratyrusiformis,Mendoza Province ,-32.88962,-68.85269,2559.2,1
T_eratyrusiformis,Neuquen ,-38.94587,-68.07309,1003.4,1
T_eratyrusiformis,Rí_o Negro ,-40.82614,-63.02663,13.1,1
T_eratyrusiformis,Salta Province ,-24.79977,-65.41504,3871.8,1
T_eratyrusiformis,San Juan Province ,-31.52871,-68.53604,2126,1
T_eratyrusiformis,San Luis Province ,-33.2962,-66.32949,2414,1
T_eratyrusiformis,Tucumíçn ,-26.82211,-65.21929,1487,1
T_eratyrusiformis,Ponto 13 ,-12.8118,-56.55762,1122,0
T_eratyrusiformis,Ponto 14 ,-15.62304,-55.23926,2330.7,0
T_eratyrusiformis,Ponto 15 ,-17.47643,-54.58008,1349.1,0
T_eratyrusiformis,Ponto 16 ,-19.35261,-54.05273,1209.1,0
T_eratyrusiformis,Ponto 17 ,-21.57572,-51.1084,1253.5,0
T_eratyrusiformis,Ponto 18 ,-10.48781,-61.12793,466.1,0
T_eratyrusiformis,Ponto 19 ,-10.96276,-58.31543,818,0
T_eratyrusiformis,Ponto 20 ,-19.51581,-48.77931,2247.5,0
T_eratyrusiformis,Ponto 21 ,-17.6859,-51.54785,2818.1,0
T_eratyrusiformis,Ponto 22 ,-23.80545,-50.53711,2124,0
T_garciabesi,Salta Province ,-24.79977,-65.41504,3871.8,1
T_garciabesi,Rivadavia ,-23.63406,-62.63835,702.1,1
T_garciabesi,Jujuy ,-24.18434,-65.30218,4181.7,1
T_garciabesi,Tucumíçn ,-26.82211,-65.21929,1487,1
T_garciabesi,Santiago del Estero Province ,-27.79104,-64.27344,618,1
T_garciabesi,Rí_o Hondo ,-27.58468,-64.95344,899,1
T_garciabesi,Aguirre Department ,-29.51656,-62.16886,250.6,1
T_garciabesi,Cordoba ,-31.43547,-64.2009,1385.7,1
T_garciabesi,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_garciabesi,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_garciabesi,San Juan Province ,-31.52871,-68.53604,2126,1
T_garciabesi,Mendoza Province ,-32.88962,-68.85269,2559.2,1
T_garciabesi,Santa Fe ,-31.61066,-60.69729,65.1,1
T_garciabesi,Formosa Province ,-26.18948,-58.22428,209.8,1
T_garciabesi,Chaco Province ,-27.42572,-59.02438,175.6,1
T_garciabesi,Chaco ,-17.01667,-68.83333,12570.3,1
T_garciabesi,Ponto 17 ,0.96675,-71.01562,721.4,0
T_garciabesi,Ponto 18 ,-1.23037,-63.89648,168.8,0
T_garciabesi,Ponto 19 ,0.65917,-60.46875,265.9,0
T_garciabesi,Ponto 20 ,-0.3955,-56.25,613.5,0
T_garciabesi,Ponto 21 ,-0.79099,-53.70117,779.4,0
T_garciabesi,Ponto 22 ,-3.11858,-50.66895,210.3,0
T_garciabesi,Ponto 23 ,-0.65917,-73.125,603.6,0
T_garciabesi,Ponto 24 ,-3.38182,-48.73535,272.3,0
T_garciabesi,Ponto 25 ,2.50409,-66.5332,335.6,0
T_garciabesi,Ponto 26 ,-3.20633,-46.09863,261,0
T_gerstaeckeri,New Mexico ,34.51994,-105.87009,6291.7,1
T_gerstaeckeri,Texas ,31.9686,-99.90181,1873.4,1
T_gerstaeckeri,Chihuahua ,28.633,-106.0691,4689.1,1
T_gerstaeckeri,Coahuila ,27.05868,-101.70683,2252.3,1
T_gerstaeckeri,Nuevo LeÕ_n ,25.59217,-99.99619,1079.4,1
T_gerstaeckeri,San Luis Potosi ,22.15647,-100.98554,6147.3,1
T_gerstaeckeri,Sonora ,29.29722,-110.33088,1630.1,1
T_gerstaeckeri,Hidalgo ,20.0911,-98.76239,7793,1
T_gerstaeckeri,Heroica Veracruz ,19.17377,-96.13422,45.2,1
T_gerstaeckeri,Tamaulipas ,24.26694,-98.83628,730.9,1
T_gerstaeckeri,Guadalupe ,25.67756,-100.25969,1638.3,1
T_gerstaeckeri,Ponto 12 ,40.9799,-97.55859,1646.8,0
T_gerstaeckeri,Ponto 13 ,42.1634,-106.875,7350.5,0
T_gerstaeckeri,Ponto 14 ,38.54817,-88.68164,517.2,0
T_gerstaeckeri,Ponto 15 ,41.44273,-116.36719,6847.7,0
T_gerstaeckeri,Ponto 16 ,35.81781,-81.5625,1230.4,0
T_gerstaeckeri,Ponto 17 ,14.34955,-87.45117,4030.1,0
T_gerstaeckeri,Ponto 18 ,13.49647,-86.30859,1828.9,0
T_gerstaeckeri,Ponto 19 ,13.49647,-84.19922,55.9,0
T_gerstaeckeri,Ponto 20 ,14.34955,-90.35156,4223.9,0
